Index,Title-EN,Raga-EN,Tala-EN,Title-SA,Raga-SA,Tala-SA,Mismatch-Reason
202,pītavarṇam,śaṅkarābharaṇam,Unknown,पीतवर्णम्,शङ्कराभरणम् (२१),तिश्र एकम्,"Scores: T=100.0, R=100.0, TL=0.0"
204,pūrṇacandrabimbavijayavadane,sāman,Unknown,प्रणतार्तिहराय नमस्ते,सामन्त (३०),आदि,"Scores: T=42.3, R=83.3, TL=0.0"
206,praṇatārtiharam,nādarāmakriya,cāpu,प्रत्यङ्गिराभगवतीम्,नादरामक्रिय (१५),चापु,"Scores: T=55.6, R=100.0, TL=100.0"
207,pratyangirābhagavatīm,vātīvasan,Unknown,प्रसन्नवेङ्कटेश्वरम्,वाटीवसन्तमैरवि (१४),त्रिपुट,"Scores: T=47.6, R=66.7, TL=0.0"
208,prasannaveṅkateśvaram,suraṭi,rūpakam,बालकुचाम्बिके,सुरटि (२८),रूपकम्,"Scores: T=29.4, R=100.0, TL=100.0"
209,bālakucāmbike,gopikāvasan,Unknown,बालकृष्णं भावयामि,गोपिकावसन्तम् (२०),Unknown,"Scores: T=54.5, R=88.0, TL=0.0"
210,bālakṛṣṇam bhāvayāmi,bhairavi,ādi,बालगोपाल,भैरवि (२०),आदि,"Scores: T=40.0, R=100.0, TL=100.0"
211,bālagopāla,suraṭi,Unknown,बालसुब्रह्मण्यम्,सुरटि (२८),आदि,"Scores: T=46.2, R=100.0, TL=0.0"
212,bālasubrahmaṇyam,śrīrañjani,ekam,बालाम्बिकया,श्रीरञ्जनि (२२),एकम्,"Scores: T=59.3, R=100.0, TL=100.0"
215,bālāmbikāyāh param,nā,rupakam,[SYNCED] bālāmbikāyāh param,नाटकुरञ्जि (२८),रुपकम्,"Scores: T=100.0, R=30.8, TL=100.0"
217,bālāmbike pāhi,nā,jhampa,बुधमाश्रयामि सततम्,नाटकुरञ्जि (२८),झम्प,"Scores: T=38.9, R=30.8, TL=100.0"
218,budhamāśrayāmi satatam,bhānumati,ādi,बृहदम्बा मदम्बा,भानुमति (४),आदि,"Scores: T=46.2, R=100.0, TL=100.0"
219,brhadambā madambā,vasan,cāpu,बृहदम्बिकायै,वसन्त (१५),चापु,"Scores: T=64.5, R=83.3, TL=100.0"
220,brhadambikāyai,jīvantikā,rūpakam,बृहदीशकटक्षेण,जीवन्तिका (४८),रूपकम्,"Scores: T=58.1, R=100.0, TL=100.0"
221,brhadīśakaṭākṣeṇa,śaṅkarābharana,ādi,बृहदीश्वराय,शङ्कराभरणम् (२१),आदि,"Scores: T=66.7, R=96.6, TL=100.0"
223,brhadīśvaro raksatu,nāgadhvani,ādi,बृहदीश्वरं भज रे,नागध्वनि (२१),आदि,"Scores: T=60.0, R=100.0, TL=100.0"
224,brhadīśvaram bhaja re,lali,Unknown,बृहदीश्वरीं भजरे,ललितपञ्चमम् (१४),आदि,"Scores: T=82.9, R=44.4, TL=0.0"
225,brhadīśvarīm bhajare,āndhāli,ādi,बृहन्नायकि वरदायकि,आन्धाळि (२८),आदि,"Scores: T=47.6, R=100.0, TL=100.0"
226,bhannāyaki varadāyaki,aṭhāṇa,triputa,बृहस्पते तारापते,अठाण (२८),त्रिपुट,"Scores: T=46.2, R=100.0, TL=100.0"
227,bhaspate tārāpate,kalyāṇi,ādi,ब्रह्मविद्याम्बिके,कल्याणि (६५),आदि,"Scores: T=30.3, R=100.0, TL=100.0"
228,brahmavidyāmbike,vaṃśavati,ādi,भक्तवत्सलम्,वंशवति (५४),आदि,"Scores: T=40.0, R=100.0, TL=100.0"
229,bhaktavatsalam,kalyāṇi,Unknown,भजरे रे चित्त,कल्याणि (६५),मिश्र चापु,"Scores: T=40.0, R=100.0, TL=0.0"
230,bhajare re citta,devamanohari,rūpakam,भारति,देवमनोहरि (२२),रूपकम्,"Scores: T=43.5, R=100.0, TL=100.0"
233,bhūsāvatīm,bhogacchāyanāṭa,ādi,भोगच्छायानाटकप्रिये,भोगच्छायनाट (३४),Unknown,"Scores: T=37.5, R=100.0, TL=0.0"
234,bhogacchāyānāṭakapriye,dhanyāsi,rūpakam,मङ्गळदेवतया,धन्याशि (२०),रूपकम्,"Scores: T=37.8, R=100.0, TL=100.0"
236,maṅgaladevate,mālavaśrī,jhampa,मङ्गळाम्बायै नमस्ते,माळवश्री (२२),झम्प,"Scores: T=58.8, R=100.0, TL=100.0"
237,maṅgalāmbāyai namaste,vasan,Unknown,मङ्गळं जयमङ्गळम्,वसन्त (१५),आदि,"Scores: T=57.1, R=83.3, TL=0.0"
238,maṅgaḷaṃ jayamaṅgaḷam,bhinnapañcamam,ādi,मत्स्यावतार,भिन्नपञ्चमम् (३),आदि,"Scores: T=36.4, R=100.0, TL=100.0"
239,matsyāvatāra,paraju,cāpu,मधुराम्बा जयति,परजु (१५),चापु,"Scores: T=48.3, R=100.0, TL=100.0"
240,madhurāmbā jayati,devakriya,Unknown,मधुराम्बा संरक्षतु,देवक्रिय (२८),आदि,"Scores: T=52.6, R=100.0, TL=0.0"
